eps1         u            sigma3       sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.1087      237.1420      299.8374      62.6954      343.3300      106.1880      77.1929      43.4926
0.1097      237.2710      299.8561      62.5851      343.4130      106.1420      77.1041      43.5569
0.1097      237.4220      299.8289      62.4069      343.5070      106.0850      76.9663      43.6781
0.1107      237.5320      299.8378      62.3058      343.6060      106.0740      76.8952      43.7682
0.1117      237.6750      299.8742      62.1992      343.6960      106.0210      76.8065      43.8218
0.1117      237.7710      299.7828      62.0118      343.7830      106.0120      76.6785      44.0002
0.1127      237.9440      299.8657      61.9217      343.8180      105.8740      76.5725      43.9523
0.1137      238.1050      299.8925      61.7875      343.9200      105.8150      76.4633      44.0275
0.1137      238.1750      299.9203      61.7453      344.0080      105.8330      76.4412      44.0877
0.1147      238.3370      299.8563      61.5193      344.1250      105.7880      76.2755      44.2687
0.1157      238.4580      299.8836      61.4256      344.2450      105.7870      76.2127      44.3614
0.1167      238.6020      299.8842      61.2822      344.2960      105.6940      76.0861      44.4118
0.1167      238.7300      299.7917      61.0617      344.3710      105.6410      75.9215      44.5793
0.1177      238.8520      299.9026      61.0506      344.4880      105.6360      75.9124      44.5854
0.1187      238.9800      299.8469      60.8669      344.5360      105.5560      75.7633      44.6891
0.1187      239.0980      299.8657      60.7677      344.6050      105.5070      75.6808      44.7393
0.1197      239.2340      299.8841      60.6501      344.6880      105.4540      75.5847      44.8039
0.1197      239.3620      299.8742      60.5122      344.7370      105.3750      75.4665      44.8628
0.1207      239.4690      299.8379      60.3689      344.8470      105.3780      75.3719      45.0091
0.1217      239.5940      299.8563      60.2623      344.9370      105.3430      75.2892      45.0807
0.1217      239.7230      299.8199      60.0969      345.0480      105.3250      75.1729      45.2281
0.1227      239.8220      299.8840      60.0620      345.1340      105.3120      75.1453      45.2500
0.1237      239.9580      299.8380      59.8800      345.2030      105.2450      75.0017      45.3650
0.1247      240.0980      299.8567      59.7587      345.2380      105.1400      74.8858      45.3813
0.1247      240.2040      299.8654      59.6614      345.2900      105.0860      74.8029      45.4246
0.1257      240.3290      299.9022      59.5732      345.4020      105.0730      74.7398      45.4998
0.1257      240.4320      299.8746      59.4426      345.4410      105.0090      74.6314      45.5664
0.1267      240.5570      299.8472      59.2902      345.4830      104.9260      74.5021      45.6358
0.1277      240.6450      299.8377      59.1927      345.5860      104.9410      74.4421      45.7483
0.1277      240.8030      299.9755      59.1725      345.6490      104.8460      74.3970      45.6735
0.1287      240.8990      299.7923      58.8933      345.7860      104.8870      74.2245      45.9937
0.1297      241.0570      299.8932      58.8362      345.7920      104.7350      74.1358      45.8988
0.1297      241.1410      299.8101      58.6691      345.9260      104.7850      74.0411      46.1159
0.1307      241.2700      299.8195      58.5495      345.9750      104.7050      73.9347      46.1555
0.1317      241.3510      299.9115      58.5605      346.0300      104.6790      73.9333      46.1185
0.1317      241.4900      299.8741      58.3841      346.0930      104.6030      73.7904      46.2189
0.1327      241.6040      299.8558      58.2518      346.1290      104.5250      73.6762      46.2732
0.1337      241.6890      299.8472      58.1582      346.2440      104.5550      73.6238      46.3968
0.1347      241.8250      299.8930      58.0680      346.2840      104.4590      73.5317      46.3910
0.1347      241.9350      299.8653      57.9303      346.3260      104.3910      73.4172      46.4607
0.1356      242.0490      299.8929      57.8439      346.4550      104.4060      73.3646      46.5621
0.1356      242.1590      299.7916      57.6326      346.5100      104.3510      73.2054      46.7184
0.1366      242.2730      299.7641      57.4911      346.6140      104.3410      73.1077      46.8499
0.1376      242.3980      299.9019      57.5039      346.6520      104.2540      73.0873      46.7501
0.1386      242.4750      299.7915      57.3165      346.6940      104.2190      72.9507      46.9025
0.1386      242.6190      299.8473      57.2283      346.7700      104.1510      72.8692      46.9227
0.1396      242.7510      299.8286      57.0776      346.7840      104.0330      72.7294      46.9554
0.1406      242.8210      299.9114      57.0904      346.8850      104.0640      72.7483      46.9736
0.1416      242.9390      299.9394      57.0004      346.9110      103.9720      72.6576      46.9716
0.1416      243.0270      299.8381      56.8111      346.9850      103.9580      72.5267      47.1469
0.1426      243.1550      299.8374      56.6824      347.0490      103.8940      72.4196      47.2116
0.1436      243.2360      299.9019      56.6659      347.1290      103.8930      72.4083      47.2271
0.1436      243.3430      299.8747      56.5317      347.2010      103.8580      72.3071      47.3263
0.1446      243.4640      299.8010      56.3370      347.2690      103.8050      72.1597      47.4680
0.1456      243.5710      299.8841      56.3131      347.3440      103.7730      72.1331      47.4599
0.1456      243.6700      299.8930      56.2230      347.3670      103.6970      72.0477      47.4740
0.1466      243.7730      299.8196      56.0466      347.4270      103.6540      71.9157      47.6074
0.1476      243.9020      299.9118      56.0098      347.4830      103.5810      71.8669      47.5712
0.1486      243.9600      299.8284      55.8684      347.5370      103.5770      71.7713      47.7086
0.1486      244.1070      299.8651      55.7581      347.5940      103.4870      71.6677      47.7289
0.1496      244.1990      299.8928      55.6938      347.6160      103.4170      71.6015      47.7232
0.1506      244.3170      299.8473      55.5303      347.7070      103.3900      71.4835      47.8597
0.1506      244.4230      299.8834      55.4604      347.7520      103.3290      71.4166      47.8686
0.1516      244.4900      299.8199      55.3299      347.8480      103.3580      71.3393      48.0281
0.1526      244.5810      299.8650      55.2840      347.8870      103.3060      71.2913      48.0220
0.1526      244.6480      299.8934      55.2454      347.9430      103.2950      71.2619      48.0496
