eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.1069      260.8800      400.1650      139.2850      488.7330      227.8530      168.8077      88.5680
0.1079      261.1300      400.2940      139.1640      488.9840      227.8540      168.7273      88.6900
0.1079      261.3540      400.2570      138.9030      489.2190      227.8650      168.5570      88.9620
0.1089      261.6230      400.1470      138.5240      489.4490      227.8260      168.2913      89.3020
0.1099      261.8360      400.1840      138.3480      489.7220      227.8860      168.1940      89.5380
0.1099      262.0890      400.2470      138.1580      490.0080      227.9190      168.0783      89.7610
0.1109      262.3500      400.2380      137.8880      490.3370      227.9870      167.9210      90.0990
0.1119      262.5670      400.2020      137.6350      490.5830      228.0160      167.7620      90.3810
0.1129      262.7990      400.2110      137.4120      490.8800      228.0810      167.6350      90.6690
0.1129      263.0820      400.2390      137.1570      491.1210      228.0390      167.4510      90.8820
0.1139      263.3060      400.2110      136.9050      491.4390      228.1330      167.3143      91.2280
0.1149      263.5300      400.2660      136.7360      491.7090      228.1790      167.2170      91.4430
0.1149      263.7910      400.2390      136.4480      491.9890      228.1980      167.0313      91.7500
0.1159      264.0150      400.1920      136.1770      492.1510      228.1360      166.8300      91.9590
0.1169      264.2430      400.1830      135.9400      492.3730      228.1300      166.6700      92.1900
0.1169      264.4820      400.2200      135.7380      492.7180      228.2360      166.5707      92.4980
0.1179      264.6990      400.2480      135.5490      493.0010      228.3020      166.4667      92.7530
0.1179      264.9340      400.2110      135.2770      493.2620      228.3280      166.2940      93.0510
0.1189      265.1770      400.2300      135.0530      493.4860      228.3090      166.1383      93.2560
0.1199      265.4380      400.1290      134.6910      493.7910      228.3530      165.9117      93.6620
0.1199      265.6580      400.2750      134.6170      494.0560      228.3980      165.8773      93.7810
0.1209      265.8460      400.2300      134.3840      494.3110      228.4650      165.7443      94.0810
0.1219      266.0770      400.2660      134.1890      494.5480      228.4710      165.6163      94.2820
0.1219      266.3230      400.2930      133.9700      494.7780      228.4550      165.4650      94.4850
0.1229      266.5440      400.1470      133.6030      495.0540      228.5100      165.2387      94.9070
0.1239      266.7790      400.1740      133.3950      495.2570      228.4780      165.0893      95.0830
0.1239      266.9740      400.2110      133.2370      495.5350      228.5610      165.0117      95.3240
0.1249      267.2200      400.2200      133.0000      495.7850      228.5650      164.8550      95.5650
0.1259      267.4150      400.1840      132.7690      496.0740      228.6590      164.7323      95.8900
0.1259      267.6470      400.1840      132.5370      496.2990      228.6520      164.5753      96.1150
0.1269      267.8820      400.2300      132.3480      496.5560      228.6740      164.4567      96.3260
0.1269      268.0910      400.2290      132.1380      496.7980      228.7070      164.3277      96.5690
0.1279      268.3340      400.2110      131.8770      497.0410      228.7070      164.1537      96.8300
0.1289      268.5290      400.1560      131.6270      497.2790      228.7500      164.0013      97.1230
0.1289      268.7460      400.2120      131.4660      497.4960      228.7500      163.8940      97.2840
0.1299      268.9330      400.2760      131.3430      497.7350      228.8020      163.8293      97.4590
0.1309      269.1530      400.2020      131.0490      497.9660      228.8130      163.6370      97.7640
0.1309      269.3890      400.1470      130.7580      498.1920      228.8030      163.4397      98.0450
0.1319      269.5950      400.2020      130.6070      498.4900      228.8950      163.3697      98.2880
0.1329      269.8300      400.1660      130.3360      498.7390      228.9090      163.1937      98.5730
0.1329      270.0360      400.0920      130.0560      498.9680      228.9320      163.0147      98.8760
0.1339      270.2560      400.2200      129.9640      499.2080      228.9520      162.9600      98.9880
